"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321885766594501,0.0431034377760959,0.00787248193388964,0.00809326199710413,0.00533916758149917,0.0218093440133874,0.0401683194615509,0.0299562344150457,0.0140724157965522,0.0166744065805674,0.0094929342902115,0.00742350304561367,0.00128172759333313,0.000778894886571888,8.23611608151515e-66,6.37928636025605e-120
"5-9",0.0539350533714242,3.91373921228543,0.220494604905905,0.0279936211046428,0.0182452589622222,0.0721750522800653,0.101367913388704,0.0970807676952652,0.0844187467251098,0.061439320312744,0.0553720076014307,0.0180301529906912,0.00407547664306984,0.00109112037362288,0.000348601453129725,8.11332742433485e-39
"10-14",0.000455870622893895,0.856026890954855,5.03118997772026,0.178950902127003,0.0118352343466673,0.0568880325333701,0.062340629962306,0.100617412695856,0.0941999466262619,0.0754566322332379,0.0565832006044084,0.0298405415458017,0.00440108600020421,0.000570072535872924,4.95390466199103e-25,0.000182687674626023
"15-19",0.00259541959625784,0.042092485371421,1.7933055760952,7.07237675718021,0.0537314966284218,0.072584407175372,0.0874164294380108,0.124459396129332,0.0935404531314838,0.112624451211549,0.0664587722232235,0.0412234153121957,0.00509564326542128,0.00082847051595068,6.23958476277983e-33,1.7137140608025e-70
"20-24",0.00717651432948956,0.0145884759655324,0.00586533394069521,0.54952936855702,0.241395416025401,0.034122412747041,0.0240805581934686,0.0298493012737603,0.0179939009357639,0.0225242963486976,0.0126657891418844,0.00940474010393782,0.000581715160760428,0.00112165698086206,0.000177223826100517,1.22005132272011e-47
"25-29",0.00703768975611313,0.100587198105443,0.0319218238275089,0.185615806130234,0.189004595903168,0.14932612399276,0.0276715025385186,0.0370319292286003,0.0408359593242925,0.0366977991158516,0.0101655811035718,0.0170295451403271,0.00392752379995595,0.00215745766857387,0.000463791275176361,0.00128761449769679
"30-34",0.0141503821924808,0.361979171917667,0.242099045517113,0.173944402820516,0.0362819794932713,0.0866120188092026,0.0835129251134475,0.0585464591306801,0.059079385413606,0.0315930731655714,0.0273964108985067,0.00427062900127501,0.00516917201547213,0.00040327639967764,1.65726367382652e-48,3.11650639931325e-55
"35-39",0.0241095277672144,0.21654089593423,0.160398164064859,0.0918623439578315,0.0144057140675144,0.056332969957702,0.0833593498381722,0.062948463259415,0.0650151463841996,0.0319838218885449,0.00503958314668389,0.0120046457099685,0.000547744148578784,0.00190397767315174,1.84770201146684e-123,9.71073143397945e-67
"40-44",0.00781557576772286,0.111810273076539,0.0897438966483444,0.405553339618236,0.00655123635745782,0.0261869114024393,0.0272238641541672,0.0372319176943347,0.0745939686656063,0.0273169002796089,0.0324105370937527,0.00931331619298276,0.00534463981031808,0.00043917694356849,4.81956197728631e-68,2.40547039735195e-92
"45-49",0.0655879470937684,0.257693156814242,0.168764259882743,0.675475548064976,0.0048383111261164,0.0334480923225432,0.068365451777286,0.0597690846054291,0.052052899537265,0.0321460126395701,0.0420320028295201,0.0198137861000913,0.00327875578197614,0.00156282058756873,6.22009029185666e-134,3.27778358697372e-72
"50-54",0.0173042488788122,0.453851161755121,0.573874303417271,0.688177401283704,0.0051394268926028,0.0180420967207458,0.0533184327362337,0.0532161247253381,0.0618884241202021,0.0868212908023686,0.0466329983001723,0.0253456196968838,0.00480526760660015,8.41354929757663e-24,1.24034952108277e-117,5.65150753576717e-78
"55-59",0.0615448003645652,0.444746693025154,0.389099853458042,0.493767753307147,0.00618647324424836,0.0710677970212269,0.0291454607729195,0.0494108158631476,0.0583673657147799,0.0433406686756948,0.0398796187926249,0.0449575152061033,0.00964243668209752,1.09438569783202e-31,0.000783319701487597,0.000763543750056251
"60-64",0.0363616487237985,0.0509705783559126,0.0262303387887728,0.129777550395372,0.0105527947445797,0.00155550148577501,0.0147706110943645,0.0415135873047395,0.0089430277981044,0.0143740779189621,0.0117683144911159,0.00626569856811669,0.0198165689514754,0.0108167513585183,4.42379675868432e-67,2.12115569084869e-37
"65-69",0.00167888419052491,0.0213069711348159,0.00829934775319863,5.84813623068314e-32,0.00175993328308176,0.00172145932371276,0.0112034107556964,0.00492403335673817,0.00497368068440194,0.00803606418221797,0.00184486000573602,0.01440277981446,0.00790526785310761,0.0172740758583385,0.0111232476542739,3.4568034118258e-126
"70-74",1.28088866564185e-28,5.1275453311372e-26,1.9366261875815e-40,0.0076388426097489,2.63675663340594e-22,1.69996209689048e-24,1.26092632613868e-26,0.00763522750653588,0.00786191941126967,0.0211888040977787,0.0352793354636907,0.0214732986076006,0.0077409192675892,0.00801281169140051,0.00791287941221754,0.0213826443617438
"75+",2.8165657168328e-94,0.0211921362995009,8.49042925300802e-42,0.0213416211912408,4.89992879380356e-36,0.00760201889471627,9.78695291776001e-69,2.23457565871209e-60,1.43904790686669e-48,8.57273010138702e-60,4.7020820017813e-42,1.60047639723079e-46,2.21027466821513e-83,8.85828613154917e-107,1.02043115705262e-80,6.61415478556341e-113
