"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",3.98796405957373,1.68210789651893,0.738898173912793,0.442842408295427,0.639402684622957,0.919477314449911,0.991430959452486,0.760906941089944,0.372720021660893,0.22483058508117,0.215320784665869,0.176008741796762,0.107639864048616,0.0957837899213868,0.0486619208237246,0.021416882110309
"5-9",1.83155830022069,6.721980351375,2.11469169847773,0.475924106969939,0.34426017134165,0.643326461933601,0.73282139501907,0.728070324643531,0.445528228248039,0.182298591098114,0.115666202265709,0.117346450711771,0.100402159471315,0.0774811429913039,0.0297624474572804,0.0205589648561415
"10-14",0.506554906582458,2.62406757800199,7.96764669833774,1.01042152158314,0.570805128712883,0.454546015687682,0.489561122715459,0.523569245234714,0.437367215764785,0.236626028250527,0.123176872898568,0.0749940691122796,0.048484027642605,0.0518644000740726,0.0298242799382718,0.0240085554473418
"15-19",0.224396203254777,0.688279579181631,2.74911729524091,6.68907460232417,1.38310690641548,0.609144225794776,0.359936541302187,0.3854377165477,0.285544212636232,0.216272202607684,0.0773660507839508,0.0376154435477735,0.0253989567793697,0.0239135513047308,0.0115515441940489,0.00717484421628427
"20-24",0.272084986393065,0.337674107467455,0.432155297753333,2.25786578182232,3.11859716880228,1.16079585658416,0.641793259663875,0.381281710582003,0.214499620859321,0.213037133821046,0.102516869356977,0.0664743687748388,0.024637059138483,0.0195794794349879,0.0173679508779878,0.0128003676613433
"25-29",0.442853389637269,0.224316133562754,0.173351502329027,0.549828979697102,1.3119454382899,1.57644156370467,0.836348169517021,0.500887372640196,0.242275227654927,0.186809568841633,0.125125586883152,0.0656887852528789,0.0238404912583582,0.0183774606130286,0.00932802588306453,0.00439910209649679
"30-34",0.417386383830972,0.289062235730741,0.376912850058249,0.243764477411593,0.551245581068032,0.763122588108959,0.89298294964304,0.570228363884379,0.25958371565396,0.168906951307239,0.135754632337456,0.095930562041267,0.0404475770487884,0.030536086230441,0.0124690756638989,0.010840567177131
"35-39",0.338768715914341,0.389087747984286,0.251580177360382,0.151083198412417,0.307394743910303,0.508029621787739,0.593213612336114,0.646400539492968,0.326045235173511,0.178215579769056,0.0962655203324188,0.0747012046456798,0.0590941620665691,0.0428058234845398,0.0204507162699973,0.00757211847278068
"40-44",0.16774905201091,0.212108101761547,0.285255984685546,0.14862091068451,0.227859751748771,0.257631733711199,0.331778636824618,0.320646355029743,0.251586690126441,0.130481808940081,0.0709441643258136,0.0326741630918892,0.0285097607362776,0.0209694391664453,0.0129383834166577,0.00511137200241091
"45-49",0.0431623278424385,0.0691370304490653,0.0773091313086641,0.119590476324813,0.140407124391112,0.164118985588678,0.187788187469549,0.187619519371642,0.130214849590433,0.113664762981867,0.0700867386303138,0.0314179676163247,0.0205822589800262,0.0141211346597524,0.010207207444009,0.00737477954472477
"50-54",0.054398969704367,0.0994888006292793,0.0969480036587397,0.116892972462644,0.182338220399045,0.217950296565647,0.149026289055565,0.129290030251677,0.105834733374998,0.100687244986412,0.0626746229340756,0.0486223748886025,0.0272174907157583,0.0155790193274541,0.00832771090046958,0.00525318721150063
"55-59",0.0725096171109124,0.0628727724577871,0.0580598136229285,0.0558900336142821,0.119548149219052,0.189750488159647,0.18346472753825,0.136148305426796,0.0962602758405754,0.0577773901371116,0.0671864966455501,0.0614222149802229,0.0366314894001702,0.0214253805772178,0.00963076868249051,0.00489317769244915
"60-64",0.0448905202179974,0.0478360781561166,0.0353389836968971,0.0455392152631962,0.0819807914003975,0.118797044954091,0.114394462373158,0.122628796092672,0.0764980727525209,0.0527577229735446,0.0378323201438832,0.0459108451646633,0.0367789634811,0.0281005024501139,0.0159843360807734,0.006276307893155
"65-69",0.0447136220765713,0.0576085227193126,0.0314227394744555,0.0268310182506416,0.0669001038669585,0.0983919910212442,0.116210312261898,0.0931485123409944,0.0641407262454049,0.0434352235308117,0.0380373509310902,0.0403334630658196,0.0352319851985366,0.0321619227529064,0.0138202357566273,0.0077159724944287
"70-74",0.0135868410396792,0.0280713063347495,0.0347134765978977,0.0525459396520068,0.041617174577781,0.0571458119634877,0.0549157620832854,0.0683643978105458,0.0579057462814619,0.0371712209029038,0.024088278845313,0.0235569584347211,0.035708950836431,0.0337195517434117,0.0252072685387915,0.0085987485053292
"75+",0.0196151743423607,0.0194486506896072,0.0246557531759897,0.0110483358058918,0.0206529654736237,0.0259688083247367,0.0460046934592728,0.0330265449463277,0.0227912455757593,0.0240726181791084,0.0139115962558702,0.0131462969492501,0.0114596282019425,0.0160081524931388,0.0113080981966333,0.00717861181337784
