"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.31887024487298,0.617252617000743,0.318594617733687,0.248794605423938,0.392707015053039,0.504793987340888,0.598558602466067,0.507076860103979,0.322752340418802,0.20478362404013,0.242877916349366,0.175240932200927,0.105609485677213,0.0950423846966947,0.0553479698867452,0.0404833743811028
"5-9",0.672093720230586,2.73693563915602,1.01171725636879,0.296679620587059,0.234606067719642,0.391888776827203,0.490908550293131,0.538361299164565,0.428075289513212,0.1842389295945,0.144766077383642,0.129637166656499,0.109302751996336,0.0853060007511566,0.0375611902385407,0.043120119785031
"10-14",0.218413947309076,1.25541441925248,4.47906037602435,0.740111837208918,0.457072484067094,0.325352401593202,0.385348905050534,0.45490360804408,0.493782745871147,0.280999375561319,0.181148297165453,0.0973489433470341,0.0620199603231009,0.0670961611653373,0.0442267903005259,0.0591683550638947
"15-19",0.126068695774407,0.429056905121901,2.01366875964363,6.3840858127121,1.44308155190401,0.568112319946121,0.369156959563904,0.436352408403217,0.42004997273712,0.334642778901318,0.148249563754777,0.063622162204173,0.0423337350134298,0.0403097685741093,0.0223199600607379,0.0230395427404215
"20-24",0.167108592780111,0.230117803680112,0.346048564581533,2.35577195176288,3.55710638017606,1.18351120294026,0.71958602668432,0.471880020314696,0.344950338762571,0.360361605921119,0.214753761445785,0.12291330819788,0.0448912834758113,0.0360802732460172,0.0366863411014724,0.0449351578866488
"25-29",0.243126964471295,0.136644426128997,0.124080567546523,0.512792544034665,1.33761859594464,1.43672401632846,0.838211531371425,0.554121051966799,0.348271557385782,0.282462807857533,0.234299047056266,0.108571257324948,0.0388299925658592,0.0302714433262399,0.0176126421310591,0.0138040594245257
"30-34",0.251989519000092,0.193639438001638,0.296679918666336,0.250008940479867,0.618062922031592,0.764822805282552,0.984194044739605,0.69372034008671,0.410352882017416,0.280854070587733,0.279543950520497,0.174361931439554,0.072446208897018,0.05531361554015,0.0258904783404749,0.0374081154243882
"35-39",0.225759245304342,0.287705429549533,0.218585662613361,0.171040649802004,0.3804363911912,0.562022370361361,0.721683407837841,0.868031266980818,0.568926217350731,0.327097265629295,0.218808530449485,0.149871941678326,0.116833067127406,0.0855893200141673,0.0468718811470305,0.0288422589090127
"40-44",0.145260238230012,0.203799066619684,0.322050849531342,0.218628873283188,0.366435605998779,0.370346593005352,0.524479432270252,0.559505547680494,0.570440277033773,0.31119000937342,0.209534044036306,0.085180783781483,0.0732418326451209,0.0544813632290717,0.0385325994637535,0.0252984428976432
"45-49",0.0393137700299613,0.0698729069081102,0.0918065429383897,0.185044998131655,0.23750477637786,0.248153827341721,0.312249297325721,0.344357276982594,0.310553329952785,0.285137727253338,0.217734337938789,0.0861526029302321,0.0556175462650298,0.038590810629575,0.0319748406349519,0.0383935703315981
"50-54",0.0613610452602222,0.124518685048708,0.14257518772077,0.223991427738497,0.381964635982719,0.408114343860373,0.306872751645382,0.29387221326442,0.312583563346009,0.312799126545672,0.241126556759451,0.165115834565121,0.0910812769146564,0.0527250091569663,0.0323064567158136,0.0338683919504794
"55-59",0.0721933056638799,0.0694579855788403,0.0753667799870371,0.0945315128263324,0.22104848500659,0.31362201322809,0.333462700143879,0.273152367318722,0.250948301875783,0.158433944920145,0.228157396477504,0.184109955043161,0.108201889770978,0.0640035899964999,0.0329779672147867,0.0278459428635035
"60-64",0.0440437638407271,0.0520767184162928,0.0452050391295113,0.0759025297148258,0.149377526174709,0.193489652642799,0.204893487383717,0.242445241029203,0.196524239331303,0.14256234464673,0.126603001846673,0.13561119924805,0.10705531289627,0.0827214894387591,0.0539369026163405,0.0351968381857012
"65-69",0.0443675205801731,0.0634264350348868,0.0406511053636663,0.0452275834111306,0.123280807118572,0.162071770560288,0.210505448725365,0.186248439642247,0.166646049835425,0.11870154391405,0.128732087302456,0.120487308213729,0.103714953021968,0.0957506619922543,0.047163103226198,0.0437608352441281
"70-74",0.0154536453964539,0.0354269143690989,0.0514770399578807,0.101529566496482,0.0879080020991449,0.107899436388683,0.114025721480256,0.156687320217007,0.172452682553883,0.116441629220982,0.0934478810774605,0.0806644441946487,0.120494851588673,0.115071748964415,0.0986052071862984,0.055900709407274
"75+",0.0370776867688951,0.0407913605213723,0.0607633541919838,0.0354779277900752,0.0725013756587205,0.0814882140571945,0.158750815789284,0.125798369853334,0.112803964276627,0.125323577948363,0.0896909582089765,0.0748125362952522,0.0642643232866187,0.0907896087396554,0.0735142690645207,0.0775587055500691
