"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",2.4273533738896,0.309731532781547,0.0528768252085231,0.0712958621925956,0.0179636355592479,0.0776505220631281,0.147682896165023,0.11969271646281,0.0574957345109076,0.0677327115714459,0.0348878110065806,0.0260377557487531,0.00402035746379023,0.00111529275232377,8.276076813105e-66,6.40313774367938e-120
"5-9",0.387565067040898,2.57086578340585,0.136016668693823,0.0186611874786358,0.0177715438218757,0.0486747482141793,0.0670723760561179,0.0701088308418118,0.069905188568023,0.0493991741674344,0.0407797729072219,0.0144051016305187,0.00693664795476324,0.00146737655216933,0.000347919758898152,8.10040251764935e-39
"10-14",0.00306193033491679,0.528057936246093,2.91688836388915,0.111794636098939,0.0109578422034495,0.0364356274732677,0.0391477578496634,0.0688390957856685,0.073859553625553,0.05745340385106,0.0395458415155765,0.0226459211547335,0.00712437305584085,0.000749831792082561,4.9426362114459e-25,0.000182351724147663
"15-19",0.022863794343118,0.0280598125559236,1.12031815381113,4.79701000975552,0.0533219113391019,0.0490575539631517,0.0579753475386238,0.0905494033976437,0.078476454592194,0.0916266447576737,0.0492576864888971,0.0332297799368156,0.0092729037218564,0.00118734339956284,6.22556717775594e-33,1.71056508653855e-70
"20-24",0.0241453908372122,0.0142097045842238,0.00543051382930775,0.545340407527948,0.284903523153717,0.0328077702215192,0.0229144384479698,0.0301744698691318,0.0198409681819864,0.0243800967314754,0.0128844120569574,0.0100028005285135,0.000865821751233494,0.00128143908543937,0.000177249358938944,1.22016168904157e-47
"25-29",0.0250571628080635,0.0678358572204941,0.0204452787247324,0.125451977635459,0.181722769698926,0.108359597408833,0.0197216666459183,0.0281275752900496,0.0345255185494019,0.0303260758974,0.00788863558419653,0.01411709458933,0.00540356237331928,0.00247039727970642,0.00046336266297742,0.00128665042263743
"30-34",0.052025313780624,0.239511718567639,0.152029820925281,0.115361463179744,0.0345249964386028,0.0617289704491973,0.0584346682318695,0.0437164499271756,0.0492222715890749,0.0257139466840933,0.0209123488419513,0.00348837824800042,0.00714282133125584,0.000464193763145746,1.65557168000985e-48,3.1139329360056e-55
"35-39",0.0963316961374847,0.156379367446305,0.109739102647,0.0668336879237869,0.0145626452387233,0.0427876669350952,0.0622441544249207,0.0503160675655673,0.0580188400221697,0.0278782816043056,0.00410420271308892,0.0104400222571172,0.000800411651965785,0.0022312826572855,1.84628998286194e-123,9.70463777761532e-67
"40-44",0.0319321341756383,0.0925874705142096,0.0703656889887933,0.340241972064501,0.00722371833573033,0.0221402095196676,0.0226816921963425,0.0332253758787378,0.0739765923372804,0.0264863749736976,0.0293194775017995,0.00894191804581427,0.00821370924284246,0.000518741171628518,4.81812612336552e-68,2.40483817269866e-92
"45-49",0.266423244605464,0.207193521517233,0.128498726907102,0.54953926451362,0.00523694465059336,0.0276406054541439,0.0556433865367301,0.0520969438132875,0.0504703169649653,0.0304670917362935,0.0371804214183141,0.0186264705922157,0.00498378127575522,0.0018424960461668,6.21763768316663e-134,3.27667518138761e-72
"50-54",0.0635954433095928,0.334247359121841,0.40107915442014,0.510060982880018,0.00522813802433557,0.0140009237794367,0.0406992605424461,0.0433388550442962,0.0559859978057523,0.0767998658833105,0.0386710801359561,0.0223735794756642,0.00686475456134459,9.71030413137975e-24,1.23954974180882e-117,5.64850757660444e-78
"55-59",0.21586688516888,0.355328172543634,0.295287020485353,0.398021213381565,0.00657987963019753,0.0589135414091682,0.0238068891860772,0.0429708655979098,0.0560397811001925,0.0407435351556094,0.0352033144656426,0.0420111416650401,0.0138708495332413,1.25477938435542e-31,0.000783028602836237,0.000763303177997493
"60-64",0.114054520323062,0.0867542594574457,0.0424610468651689,0.236165419632287,0.0157067235693424,0.00214008869921306,0.0204102002573568,0.0606632842720967,0.0137437568650516,0.0218489162207724,0.0168120898139499,0.00901334018820713,0.0316323094484713,0.0122934963935447,4.42842444899952e-67,2.1228511748711e-37
"65-69",0.00240397953814346,0.0286543543652901,0.0109163560903143,8.38140382736243e-32,0.0020106390235037,0.00197115729887594,0.0128957543831261,0.00577050371320691,0.00587474589300799,0.0094741626775684,0.00212920268271033,0.0165136580498046,0.00898452581750904,0.0177620464611485,0.0111264268850459,3.45756326017703e-126
"70-74",1.28710339691295e-28,5.11751835608305e-26,1.932221020767e-40,0.00762168151172119,2.63713651393653e-22,1.69839107878068e-24,1.25963897544078e-26,0.00762939260481625,0.00785957717189919,0.0211804492600475,0.0352565872940634,0.021465318662435,0.00774901696716255,0.00801510190180411,0.00791287203355513,0.0213826277585518
"75+",2.8270965168401e-94,0.0211583762440006,8.47481591852957e-42,0.0213024056549858,4.90037204328523e-36,0.00759632703831806,9.77887131579918e-69,2.23317342281705e-60,1.43866968497504e-48,8.56983117237586e-60,4.69958602103706e-42,1.59997213024956e-46,2.21204138689649e-83,8.86023329293207e-107,1.02043036470841e-80,6.61415052792072e-113
