"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.369717895877218,0.180418287853279,0.0968969734672049,0.0764762206488809,0.13593962122606,0.222521971735679,0.283477962548292,0.250744059340515,0.194861419698253,0.149744584473359,0.17359867074941,0.148458762826237,0.110135025047457,0.112015111974038,0.0647523496773809,0.033138184579618
"5-9",0.196447929002134,0.834125535518698,0.320833825666321,0.0950872719728071,0.0846770756612681,0.180123661625258,0.242416645290348,0.277574717939019,0.269479563921959,0.140470949202353,0.107888309579941,0.114511479945904,0.118850999572677,0.104830604371541,0.0458186613704764,0.0368028270836522
"10-14",0.0664281481207123,0.398114600092002,1.47795792070311,0.246823316528911,0.171658711655418,0.155602337972336,0.198002252203694,0.244050452112164,0.323441503904426,0.222928005538953,0.140474015822074,0.0894756576860997,0.0701709548907867,0.0857946765051896,0.0561361512481455,0.0525466312327958
"15-19",0.038751874778522,0.137514840245541,0.671547699493963,2.1517966638928,0.547753708592477,0.274605979197889,0.191708223130211,0.236598121963457,0.2780830247405,0.2683208458361,0.116190025429199,0.0591011269986066,0.0484090065335492,0.0520938737522062,0.0286328320042447,0.0206796373777633
"20-24",0.0578463789425305,0.0830571129835882,0.129962430111092,0.894185655324688,1.52048886305628,0.644228736565004,0.42082772171358,0.288135947115363,0.257171022516948,0.325389405157578,0.189543170156737,0.128581409991738,0.057808745298056,0.0525095267743497,0.0529989456324116,0.0454200150252028
"25-29",0.107174595722212,0.0628058159111039,0.059342504658422,0.247866299912966,0.728115066363905,0.995915293013696,0.624247167834219,0.430875533051078,0.330647157697953,0.324793624901629,0.26334144417271,0.144635690481409,0.0636766428259506,0.0561025685139923,0.0324017652198608,0.0177684339288278
"30-34",0.119342492339704,0.0956215224367878,0.152441829494338,0.129833038506661,0.36145506125607,0.56959186580445,0.787476463023496,0.579542795926139,0.418560434746034,0.346961148477875,0.337561329478872,0.249554943159323,0.127638712396856,0.110137588404772,0.0511726766658546,0.0517323325521136
"35-39",0.111635521269209,0.148338585222718,0.117268645143079,0.0927413158338036,0.232299303157449,0.437019469945335,0.60290349840336,0.757147837849205,0.605899880856685,0.421911411323192,0.275874191809035,0.223964442612045,0.214919965824473,0.177937435173937,0.0967285500096941,0.0416456587780185
"40-44",0.0877007311875026,0.128294449471323,0.21095231045861,0.14473748916595,0.273188946036046,0.351605078690642,0.534969653696919,0.595866975961976,0.74174513052566,0.490082963891193,0.32255295257314,0.155417519701862,0.164501472406046,0.13829144619066,0.0970890393827007,0.0445998973298737
"45-49",0.0287475338167867,0.0532738307724237,0.0728337900103817,0.148371438282452,0.214455526443047,0.285342986309839,0.385746144198038,0.444174500974873,0.489080278303242,0.543873730292415,0.40595022859381,0.19038213102872,0.151294050517965,0.118639878219027,0.0975775081061994,0.0819781297906768
"50-54",0.0438582315472699,0.0927987459756938,0.110561951114725,0.175552420025383,0.337124656185385,0.458701911297058,0.370562030884153,0.370514619164588,0.481185535967694,0.583191783745463,0.43943371654972,0.356655537053836,0.242181855578601,0.158440396695431,0.0963680628949918,0.070686511576725
"55-59",0.0611599625075453,0.0613538302928925,0.0692713446614844,0.0878140376146008,0.231242054220254,0.417798757710351,0.477267397149754,0.408191266554768,0.457870436493997,0.350111210053753,0.492827347466761,0.471356428009184,0.34100382698954,0.227963600149694,0.11659491175474,0.0688835966950094
"60-64",0.0459311112318902,0.0566259305021768,0.0511461269092696,0.0867952250306351,0.192360892700704,0.317300382712039,0.360989778572604,0.445989514761951,0.441394290201875,0.387806295339992,0.336632850874257,0.427385677127331,0.415321943137706,0.362686811132159,0.234743710039498,0.107179020611285
"65-69",0.0522906995827025,0.0779433036280193,0.0519798506155952,0.0584493561654955,0.179417068103016,0.300370303260727,0.419147478288546,0.387204497589227,0.423001956408542,0.364924615073536,0.386844180887868,0.429143436395514,0.454731241343367,0.474451657535772,0.231978160094652,0.150601223693552
"70-74",0.0180794318662277,0.0432151852103202,0.0653387433554737,0.130245708910173,0.126996350249807,0.198501291243301,0.225372482507518,0.323352443268769,0.434522080553539,0.35534450816901,0.278748962174747,0.285192343462672,0.524416626289819,0.565996102411061,0.481436618661205,0.190965432609584
"75+",0.0303504153672142,0.0348152415916092,0.0539631287999466,0.0318439775424035,0.0732836764493795,0.104890735610782,0.219539260456205,0.181641666912082,0.198867781922222,0.267591486026177,0.187193444703141,0.185066693670739,0.195693351595,0.312448930615089,0.251136065064978,0.185381403288258
