"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.543985355965852,0.854594291250591,0.540944172555276,0.264316160735492,0.437582521399716,0.628284213044587,0.636981448861534,0.541338807331259,0.281626073553216,0.125769898150674,0.118988320647952,0.107105331778002,0.0682705194150336,0.0329537104061186,0.0112802054986943,0.011777326149207
"5-9",0.564181918536767,0.852518352837329,0.800862730805311,0.333647661611165,0.128715520265298,0.429202291210693,0.649778516482291,0.626195212697241,0.462137516867172,0.199692153735006,0.104855410952011,0.105911323720316,0.0696946393341236,0.0351985095846612,0.0152962350644951,0.0107244311149362
"10-14",0.376427453616052,0.831263884478434,1.23284709258293,0.56938555648154,0.143159141858285,0.126935491580425,0.282611077337269,0.48498411040657,0.482757259667639,0.251519455786105,0.108528960843376,0.0510584182927137,0.0339408753990926,0.0338180857738182,0.0219661572516671,0.0100674631403159
"15-19",0.205929739958261,0.346726000802718,0.655128733155107,0.876367779027288,0.307136556418607,0.129014181843158,0.0752396753483513,0.271478737369114,0.365673026801855,0.342686523794208,0.194480271586453,0.075169794187597,0.0393052855581184,0.0230941717351993,0.0113668092963372,0.0073223211168784
"20-24",0.352938305966005,0.188695996030469,0.191632958862335,0.491460463569262,0.656291978232032,0.350555412742766,0.0929529504668118,0.0474449470168096,0.136925586563273,0.264225480760285,0.173605363745011,0.100559368086046,0.0289755349359826,0.0104113161557886,0.00676331378987832,0.005579849475646
"25-29",0.648875129242575,0.30319747417282,0.116242806202081,0.175673151666322,0.348362101813878,0.523256055269092,0.227930791047369,0.0588975189781204,0.0305200125131564,0.0842110624782736,0.146162940970897,0.0941683142747454,0.049347651371461,0.0176034201130384,0.00296910152092577,0.00560811082643816
"30-34",0.580065279347587,0.723394581123507,0.430891734393697,0.0863793028818596,0.117358163768199,0.270745746702723,0.359235214432286,0.197350883590183,0.0738026972507931,0.030406460384419,0.0466222662841133,0.0618745162269846,0.0549596774301171,0.0142789540801739,0.00820104003044081,0.00389720685462927
"35-39",0.56044110441287,0.858680720816909,0.762580697223616,0.319908304753262,0.0641650532010048,0.077439535192401,0.180731385480819,0.349924383158445,0.142854545091512,0.0484026381954433,0.0312668187701152,0.0299052012811158,0.0470933589723014,0.0290886021231854,0.0131364438764326,0.00423775178580091
"40-44",0.446697876953332,0.729178753500669,0.808506140191217,0.532268771179601,0.159674870779563,0.0648567980352622,0.116115126891712,0.183914132379644,0.264769294142068,0.135772606371211,0.0502714355118917,0.014460515580225,0.0349890516333435,0.0299905687229135,0.0146162650325363,0.0082317676735624
"45-49",0.228661401055272,0.459412137135862,0.578922232316129,0.575008829091642,0.303040445273884,0.113110351750278,0.0481360707524663,0.102574792567052,0.135798055482767,0.216234929376463,0.115861164610373,0.0350017721920996,0.0209414672655366,0.0135350436638595,0.011877817059916,0.013972061466359
"50-54",0.305382026566464,0.302327106281929,0.454358462796741,0.413871042232703,0.328402693837961,0.2128759147989,0.109948462124683,0.0567083661589914,0.0916777598424814,0.136791566689863,0.185343330291917,0.109761805189334,0.0321197853239351,0.0130583266292738,0.0123503544403926,0.0164353663102881
"55-59",0.435327294800537,0.49642331355374,0.330566858646907,0.353350976031107,0.261250523132759,0.284957357478718,0.224045453696772,0.0892710244320195,0.054252719318751,0.118603327722379,0.147488738292578,0.165071553390639,0.102577959985315,0.0449037606814852,0.0115707570036514,0.0129887989409489
"60-64",0.447701808513286,0.516212205038907,0.338558928558319,0.280040626928604,0.15960754482884,0.198356038398331,0.23144128776762,0.19049475562393,0.0962838506818418,0.060513556928918,0.0924218615852934,0.142064823453837,0.132000893450568,0.0815441786558404,0.0214690210846994,0.0048355011223028
"65-69",0.646856862535063,1.03358636943654,0.942620813053664,0.428870328755232,0.315500071305367,0.319058964981388,0.467637642011914,0.568193575106259,0.39393985263295,0.157978643122452,0.174465530013786,0.222430772603937,0.226576133036677,0.298453654034068,0.103146665769132,0.0240020626706136
"70-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
