"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.226751272034038,0.0231771371087737,0.0318546236726351,0.00996545289715275,0.083554195191917,0.0246909914715877,0.0777955984863533,0.0463361491853041,0.0140962610108766,4.39067590312458e-08,6.60056968822845e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.0413098270186525,0.334208427183578,0.344712813188316,0.214349637020697,0.204997146542829,0.197592851162035,0.197597663977618,0.15972468202995,0.0720626694686183,0.0432457576619079,0.0125468419698605,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0695895296266484,0.232333469588013,0.57885542754612,0.599827568414435,0.513583483843888,0.586754449523891,0.397673327221517,0.326556451843705,0.191562843506547,0.111305935043241,0.0444770083027783,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0967663813786667,0.220801946709121,0.595626221516037,1.0845022737824,0.796123326743312,0.805977056867126,0.668389728734419,0.480469616302276,0.30343149537124,0.177288934227941,0.0641441174987566,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.112479031539453,0.122412231990039,0.423396204606774,0.754794755937007,1.01333414250587,0.921485165394438,0.741294806616444,0.620531746301614,0.287567688065864,0.212192246583218,0.0616163343624428,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0717231653198869,0.253174525946657,0.36418420085238,0.735118314397687,0.807555523511892,1.15709677928479,1.01048651557099,0.716968324782096,0.401073400172194,0.201825662636285,0.0452797691118629,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0727539577964732,0.141937824175891,0.384787499175225,0.652642468572703,0.789708579660209,0.876316848605453,0.963733955627366,0.793953529366809,0.438415162274043,0.192356908750599,0.0595994054666222,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0995259931552402,0.181908821222149,0.268888584846463,0.503023516300981,0.661646403016147,0.754277621408421,0.700480727240295,0.700954087632353,0.346886703993583,0.223225437065847,0.0486721735314733,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0811281152081833,0.102578457768708,0.168733654451738,0.382076306385615,0.456902281332528,0.493351577368558,0.599684272683073,0.593076616496467,0.346164715661667,0.212384134864778,0.0438533666312405,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.16283936990795,0.0897955873939894,0.148101242633863,0.294542498827826,0.420127888117626,0.410757289557404,0.471371009299088,0.381250359578635,0.271558725760563,0.214894743120608,0.0538891197757795,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.0703988815870418,0.0155932475036646,0.0753854910598602,0.145280740392684,0.16418125179497,0.201194612658017,0.195281272321347,0.19550835241183,0.114765438337424,0.112033077274982,0.0236722921245831,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
