"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.490588760291176,0.417860830970111,0.222753590423929,0.122952401777245,0.24006565050118,0.410837952320096,0.493726236359117,0.446873027239342,0.214579313117122,0.0776510049163005,0.0799742880529802,0.0493802866053306,0.0404314818520903,0.015761065305366,0.00825773195003574,0.00879994019483744
"5-9",0.303726812400398,0.858919812177591,0.484250829482911,0.205256688033065,0.0680885535245132,0.274129376061839,0.552700872715312,0.594040631444268,0.458978547011291,0.156307364903496,0.079275023433904,0.0661630117808219,0.0362409645158105,0.0212997415940983,0.0101254837073766,0.0103817631617056
"10-14",0.16714997689372,0.47043322955329,1.4333679290327,0.456988889441176,0.0861201673127712,0.072525805760246,0.194585894735558,0.467611025072918,0.575660302451465,0.229549100007885,0.0913472321235981,0.0315033546289014,0.0174139198606797,0.023197060829492,0.0155408477613939,0.00941073667785326
"15-19",0.0909976706579997,0.171284905506844,0.447814337139497,1.17342287039563,0.232083664283944,0.0768005701200902,0.0459400827452163,0.271497111568594,0.438137179290991,0.393175446826339,0.187965454550872,0.0577108001061386,0.0257873869895877,0.0158763521236154,0.00808721406364369,0.00605700364565036
"20-24",0.188956696329797,0.0936097739636605,0.10788262786781,0.395107771705699,1.12229468669409,0.283618455173085,0.0651120943560283,0.0319956275985855,0.149580361727431,0.323747146603889,0.209667534216833,0.0970630586510896,0.0249951957558881,0.00664843327835613,0.0056232803274805,0.00832395026234228
"25-29",0.45293671915778,0.190103458648104,0.0691537047117159,0.127010714117719,0.315685545635017,0.932024121401616,0.217635907239425,0.0465129474002269,0.0244459955400787,0.104935901283209,0.203931162768881,0.111178648710022,0.0520406480090287,0.0166514135772637,0.00270915809838295,0.00856470821852922
"30-34",0.536314880356955,0.631852980237175,0.326831818385451,0.0705950764399456,0.103144531345208,0.279958313103066,0.856914788406275,0.275753541727981,0.0826851664445227,0.0285579533328623,0.0627059354461538,0.081929862196368,0.0718869604545177,0.0178211696160931,0.0110373834387383,0.00643706489316575
"35-39",0.507734027517409,0.809321204722729,0.747466284274053,0.371060122566447,0.0550186377979645,0.0675544624516461,0.224417801679477,0.928695784307836,0.203830184093181,0.0528834489068419,0.0347640525703383,0.0346150133960064,0.0586100988566571,0.0402702489422749,0.0208629196121869,0.00477547797154034
"40-44",0.307427842555517,0.598688769236416,0.798545077031778,0.618382433810633,0.17814540087108,0.0588256685142021,0.113824197493686,0.216484606811736,0.749620511502099,0.180048901751363,0.0589147506757881,0.014227596011711,0.0395994526168859,0.0441219999805359,0.0163759024111679,0.0115508854242803
"45-49",0.180757250641541,0.365497353073893,0.53264607791736,0.722760167574672,0.416427699992862,0.147574152824835,0.0504380092025647,0.11391814723253,0.193871349456124,0.64752734494459,0.175622628276046,0.039520906778547,0.0210917104389722,0.0174511315939575,0.0157498483729478,0.024846481526694
"50-54",0.281147539727412,0.24354305239991,0.390992039475861,0.462081468061337,0.446398196613724,0.315617495386363,0.143013033104961,0.0662097450672717,0.114174739718017,0.200831895326934,0.557949856292621,0.160904771182827,0.0343680257755517,0.0127593307056057,0.0120658432599431,0.0275335616293437
"55-59",0.454033786153834,0.455016930751195,0.292474770796298,0.38370514744447,0.339994216859091,0.418626920802803,0.334323718180797,0.122602943842006,0.0643098726321679,0.143020158653125,0.232755668099669,0.547280116363321,0.142840642315478,0.0503128909826441,0.0104840553921913,0.0214803286726876
"60-64",0.443449362240414,0.408899882511846,0.263760536105489,0.250283083611956,0.179025020687248,0.246679295440847,0.308546700484617,0.24349507133,0.116535789829555,0.0612076478326653,0.0996417312836873,0.180037622897267,0.413943230518781,0.114164008536595,0.0201632216058236,0.00516707116793786
"65-69",0.292575063965849,0.431886069981917,0.384356913500023,0.197279804716335,0.14684817645622,0.172065001944317,0.282888698652407,0.363419495144674,0.279523680926958,0.0903244182841399,0.080781808368792,0.104905980173819,0.138293726385765,0.391062356853479,0.0660832717041589,0.013010088554493
"70-74",0.133681159823047,0.396842981698746,0.342475013883025,0.262728924633511,0.0568990681587576,0.135251925447915,0.118060450225899,0.283540440361021,0.243398135110607,0.197494618018807,0.103834093600858,0.0595577654595866,0.0833615574158776,0.105447519052601,0.227180658343501,0.0598322235291336
"75+",0.217691218421439,0.293998584438644,0.460400758397596,0.373317381328041,0.105064573747071,0.0910628822311558,0.112406084197373,0.239591945093386,0.273332838381147,0.257312118917779,0.257216951279024,0.113595554820997,0.0439921289994557,0.0855208413607702,0.0634845444011504,0.152220119952833
