"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.386330685227142,0.755824012960295,0.492200307740804,0.230191330491268,0.380034906557285,0.528461813751975,0.483269374645217,0.426112992662468,0.231311245119231,0.110092629233795,0.0977266262408886,0.0915552306156759,0.0572334622232552,0.0290454804462383,0.00843270555072985,0.00900965805558514
"5-9",0.466713170954783,0.633200284589108,0.69351018445784,0.275083438584387,0.104255268176748,0.372399880358266,0.517026990986271,0.492669237126689,0.36261229293393,0.169987031235798,0.0869997064651998,0.08685765596522,0.0580898625698857,0.0281390726484286,0.0119328790483356,0.00827660886898352
"10-14",0.355559803687109,0.822963070242933,1.01894459177931,0.524662219974464,0.132119502861071,0.115438783963373,0.276012588817362,0.45046847830938,0.421270425375512,0.238240275000304,0.104915512284686,0.0496400826355998,0.0317384915495201,0.0309086986712573,0.0187218732903692,0.00943955002782001
"15-19",0.184451144052727,0.323032335373779,0.620196427106671,0.698494030658591,0.285408354151796,0.115972325731581,0.0633133473953163,0.248162789710358,0.336683915546174,0.312680793593658,0.185138720794849,0.0760721544294548,0.0370330024150666,0.0222533099407491,0.00948401350924435,0.00729703205983027
"20-24",0.362994584440565,0.186324589792685,0.193689754778175,0.505814458153817,0.581705921648628,0.355538412249535,0.0823722237036649,0.0443723187954286,0.149251802545222,0.27914131144501,0.179944231911321,0.109459096404221,0.0321697857539493,0.0120405719301598,0.0069471378527643,0.0057580784908371
"25-29",0.623121584566229,0.310655538458401,0.105617673821499,0.160570840401825,0.325404106809714,0.462406218965689,0.205858997464124,0.0528154174459273,0.029019171261294,0.0840960309831274,0.144851291321771,0.0991843824690831,0.0531836716084871,0.0191710973303449,0.00288946071934486,0.00539262579778173
"30-34",0.432808417307503,0.600736933247039,0.363980770593681,0.0606874719626216,0.0788675303305938,0.207861502578861,0.271342910573108,0.153803267334319,0.0550468490058752,0.0231387300862011,0.0375033172305477,0.0550576195671094,0.0495003743736887,0.0131045302774795,0.00719522582819221,0.00340488486745449
"35-39",0.42651889263884,0.716992188724191,0.64333781108515,0.251978415737382,0.0433352219195948,0.0551332894685254,0.137969595912989,0.277284651694901,0.11796452886191,0.0367904402679323,0.0235137658616616,0.02523916893688,0.0420934738622893,0.0268693696636825,0.011304081000959,0.00455758170417678
"40-44",0.321783293595227,0.612989917597656,0.705557547316765,0.471697273057026,0.144014937792427,0.0500077327235783,0.0828064224100539,0.158591863458467,0.245649793098226,0.122362485739679,0.039093506496629,0.0105615680750417,0.028377939592004,0.0293450511080771,0.0137418244047353,0.00855179131609898
"45-49",0.168121158116905,0.363198101519578,0.503855293888646,0.518643428740818,0.30005849399404,0.103087084445407,0.0357309694893864,0.0797894354673978,0.126132319979355,0.221282610834486,0.115916169921549,0.0296601456357842,0.0140761990897327,0.0128003706694035,0.0118546985450826,0.0169951067893662
"50-54",0.214992971798051,0.21385544999246,0.354095248352629,0.350005441677785,0.295528327217449,0.203995006179752,0.0889640094912789,0.0420374538822868,0.0682321519604584,0.128937939584962,0.191341784295303,0.109406926146091,0.0237260451247111,0.00847871654163044,0.00872045781093098,0.0147678539575021
"55-59",0.340671556465281,0.351699869822753,0.244777026655405,0.314629918923474,0.251324897693791,0.311336540053403,0.227347980652601,0.0814331747664674,0.0402269468137604,0.0997524344775893,0.158438542910705,0.202933102911185,0.105943592763496,0.0379076349963594,0.00624647342566688,0.0125813456929051
"60-64",0.398330273720657,0.398983285280476,0.255730485568111,0.232304768539634,0.163599883225083,0.234087246513837,0.261010630423045,0.20580064262692,0.0900684169698905,0.0460873879727916,0.0817705047967312,0.163929164347689,0.171244742051962,0.103398817443536,0.0192119091911628,0.003844828717354
"65-69",0.278823739011045,0.387288909110682,0.353682788520192,0.178377852791787,0.145335535789936,0.161809407123899,0.244832424573237,0.294943027011502,0.205505068088158,0.0764764041554876,0.0639507586026221,0.0983685255569548,0.131049543024683,0.194305049508216,0.0546615744920096,0.0132124377837506
"70-74",0.133304868147413,0.413953374326971,0.358829742873688,0.258042049211865,0.0557684744240914,0.131104750529745,0.126548916028917,0.261157035646541,0.266011017017627,0.2105476304263,0.105860395034296,0.053295940594063,0.0997396780251819,0.105568535434337,0.11750073251455,0.087175933571774
"75+",0.330552926585729,0.431009874919004,0.74157044369521,0.617030738521088,0.141271634482329,0.126907329363777,0.175868420170525,0.465339154058392,0.438080172663052,0.462074599212447,0.374748713499666,0.172101269406821,0.0664990566281281,0.171050010077284,0.146836935690443,0.14337515981405
