"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321887613476355,0.0432910058377817,0.00789810744176676,0.00814984929760756,0.00536230706962218,0.0218321833043071,0.0401266553216521,0.0299167690687104,0.0140616426479848,0.0166510193287275,0.00947674010226023,0.00741261993213957,0.00128299325219092,0.000780119543546235,8.23607853557323e-66,6.37927089057494e-120
"5-9",0.0541697560758895,5.1270847845003,0.269444854713826,0.0399347423358998,0.0378469868973189,0.0820185518955167,0.0806364107839737,0.0727945042196312,0.0695892380966287,0.0439710763748078,0.0365051605436616,0.012040594574915,0.00591553866969109,0.00248720430283317,0.000347137714419846,8.09452976846935e-39
"10-14",0.000457354515310038,1.0460665981505,5.73762309882014,0.237811723516475,0.0230143774250948,0.0607693523128226,0.0468522817313149,0.0713693326073185,0.0734789992194898,0.0512330532244702,0.0354698030173376,0.0190039878444026,0.00609947381305165,0.00124170659281303,4.93235356268095e-25,0.000182229025875336
"15-19",0.00261356651757071,0.0600476998421094,2.38316255896959,11.0017411648056,0.12394182638345,0.0892202225373849,0.073852592620863,0.0987183308072368,0.0818127925315948,0.0847052205952837,0.0457125919978859,0.0285756596686204,0.00812172074957337,0.00223929403461277,6.20900939871298e-33,1.70936805485944e-70
"20-24",0.00720761671868357,0.0302615523223085,0.0114055205905906,1.26759308532407,0.574148306678497,0.0547900441939561,0.0292270876430555,0.0345686723723253,0.0220337343836421,0.0248573283146769,0.013133198177897,0.00968605019408413,0.000846764390667397,0.00182048808643967,0.000177132622407478,1.22011078154687e-47
"25-29",0.00704505980097298,0.114305650875358,0.0340997653153821,0.228157591607562,0.303482940645614,0.151117218015994,0.0213827406013289,0.0274475240521833,0.0326856637367387,0.0265841328910052,0.00698096100651425,0.0119906693849317,0.00468578781647068,0.00321294142429122,0.000462891317264753,0.00128612774626985
"30-34",0.0141357048668871,0.287948130983709,0.181950241669175,0.146954585113688,0.0440362131971262,0.0669281448875651,0.0510323678832346,0.0345964927642081,0.0378789579217492,0.0186047639035002,0.0154875758708844,0.00252034083139394,0.00534584345208459,0.00053439488088753,1.65327329258043e-48,3.11140311312579e-55
"35-39",0.0240777650680003,0.16236982398292,0.113772652407107,0.0728630986617821,0.0166833523278171,0.0417531730064658,0.0492590190137415,0.0360344515201622,0.0403955892858632,0.0183128668448848,0.00277717329024279,0.0069267494242837,0.000554083004565624,0.00246958731366703,1.8431975763366e-123,9.69440441750957e-67
"40-44",0.00780959254777666,0.0921690029361456,0.0700031363917913,0.354706975687235,0.00802206271447144,0.0209603642124974,0.0174546772540668,0.0231331518753747,0.050073289673999,0.0169331956238139,0.0193433752846701,0.00579310768993158,0.00556316807428184,0.000567541146526603,4.80966927787798e-68,2.40213785959789e-92
"45-49",0.065495954504471,0.184426608593097,0.114586459176113,0.508027383841289,0.00533945594963652,0.0242300233985698,0.0402595557199106,0.0342217791117667,0.0322665427493321,0.0185071202801642,0.0234114702689857,0.0115827860392575,0.00325394010190302,0.00194608828347898,6.20632871488661e-134,3.27272311709396e-72
"50-54",0.0172747292118544,0.299210923361391,0.359739432932264,0.473351699326977,0.00532908855068177,0.0123899629937565,0.0301416588975191,0.0293259176197313,0.0369364756304718,0.0483587250547829,0.0252214633257011,0.0144440299240552,0.00464395675420415,1.02014780494978e-23,1.23758024283953e-117,5.64255891510249e-78
"55-59",0.0614545735481965,0.297003282335697,0.247798749698488,0.342274873806248,0.00637152007454817,0.0500395313541885,0.0172003924512873,0.0285103241363668,0.0363059116813953,0.0253361820670209,0.022726704420307,0.0269632638191183,0.00934316580350403,1.29055370426974e-31,0.000781833006733458,0.000762515055978463
"60-64",0.0363975545145693,0.0739835984077197,0.036352678530292,0.206846705896269,0.0153610072669435,0.00185581304704718,0.0152754395415268,0.0419940098744824,0.00930868468213361,0.014265285882378,0.0113732570255923,0.00607123101003942,0.0222865020650991,0.0126287411705616,4.42270471881884e-67,2.12100262927542e-37
"65-69",0.00168152390131066,0.0485691510927399,0.0180772694222406,1.58070761998622e-31,0.00285643260769134,0.00256364148041207,0.0148460097370196,0.00638680299740296,0.00642740580857128,0.0100068366610327,0.00223690361668568,0.0169844698063533,0.00922953466266355,0.0198678257239746,0.0111257278085291,3.45777311188592e-126
"70-74",1.28088282646099e-28,5.10601533887679e-26,1.92820123269383e-40,0.00760141056855993,2.63539969428606e-22,1.69666342694903e-24,1.25789025116522e-26,0.0076166139060774,0.00784578192701804,0.0211419251386619,0.035200568717322,0.0214325435489274,0.0077390083768099,0.00801459831070721,0.0079128469712872,0.0213825795709111
"75+",2.81655888669993e-94,0.0211430365326139,8.46911350317619e-42,0.0212874985026003,4.90016759032947e-36,0.00759324118022212,9.77092676050469e-69,2.23081858296234e-60,1.43705425045553e-48,8.55949492544746e-60,4.69463670547728e-42,1.59832013494542e-46,2.21011517585937e-83,8.86077105174015e-107,1.02042806507843e-80,6.61414051908059e-113
