"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.509111765305823,0.573366200431961,0.345496518840081,0.166551049495467,0.278414229878845,0.450193569029474,0.516017035578663,0.465083497381568,0.229062407733324,0.0935908829394817,0.0931332271032941,0.078880417835678,0.0536515972321878,0.0230077808884803,0.00767296874967765,0.0109626850097229
"5-9",0.37600760829592,0.785103879092747,0.54812251517075,0.216161955285089,0.0819537208691734,0.29058218781413,0.526933843894235,0.544522121521697,0.407797524193449,0.161564248107769,0.0756806888142185,0.0770739371775264,0.0485890004167912,0.0246254009416027,0.0111035021385721,0.0104547329588824
"10-14",0.24756433812554,0.60304800338372,1.21854402241594,0.454505659624367,0.105807149152354,0.0890134049645512,0.227372225863451,0.439289730637025,0.478898332450906,0.241351061287609,0.0972989488136984,0.0394088800294598,0.0253052519892448,0.0248680987786774,0.018397334039666,0.0107368065133599
"15-19",0.131075899092919,0.232472732189138,0.511020249840164,0.931412157847723,0.259770220191991,0.0938631752310154,0.0549760657669779,0.223050068997697,0.36031781760231,0.376666325026078,0.205012665240256,0.0663614508595797,0.0298825526150443,0.018489736044078,0.00889671505136779,0.00782591000103052
"20-24",0.250321917667634,0.135746046088644,0.14763343561696,0.44791357346855,0.810790979456712,0.315175440815353,0.0752525511744857,0.0380677618199003,0.141838373209255,0.328896768000712,0.222097185625557,0.11334795733215,0.0290059439227671,0.008944911109648,0.00695112626992743,0.00721768852450834
"25-29",0.570146552272273,0.258294742904306,0.0951929898775444,0.155635259426222,0.350181486058159,0.74202938992345,0.239831516135446,0.0551017129893637,0.0310763157969386,0.103841616736344,0.208060740924649,0.13521495649624,0.0650299044507796,0.0202644539770817,0.00351335559898464,0.00890074850737606
"30-34",0.659661352751678,0.812614019881227,0.461330577393161,0.0894786221016311,0.123514057758932,0.322845497641826,0.66582417293338,0.25628749575641,0.0947481772054185,0.0372615813027695,0.065108333202884,0.0990686740692146,0.0905519486878084,0.0214044498544813,0.0112718284256349,0.00660914882997197
"35-39",0.576781290559632,0.916692650951336,0.804039231387773,0.326133238231318,0.0600026521031111,0.0750933638481831,0.200957395461277,0.608167946285522,0.179189836095899,0.0543665413294434,0.0351863202630001,0.0366771325266888,0.0619549098486653,0.0386672506680186,0.0166980944500333,0.00611319862620315
"40-44",0.36812954430638,0.698828590478175,0.826389231713091,0.573442044496098,0.174964525923146,0.0642477843779564,0.114434599870914,0.206386852377418,0.477985122571794,0.159965066413942,0.0539252823943702,0.0148949902257007,0.0396921536232138,0.0400299312129374,0.0173200231791317,0.0116231256957694
"45-49",0.200662888943679,0.416459330677398,0.578216144014523,0.662421912402001,0.386175084406686,0.135686547567387,0.0502050324258587,0.108848866065544,0.164284270381969,0.417770443604754,0.151745528443891,0.0393723173843824,0.0201215299956547,0.0165265992736592,0.0148747295260376,0.0234575149070969
"50-54",0.285681787918014,0.264427055445969,0.422273218309852,0.447728353393372,0.408839547832226,0.283942173425632,0.127628990423432,0.061273902107062,0.0970453008601421,0.171639610647721,0.359142435184378,0.142807371100147,0.0330250373899952,0.0122058291437517,0.012494435956815,0.0246229199043878
"55-59",0.482024553846533,0.49252325067213,0.321339387122938,0.392838174436511,0.334235750405773,0.416152896849856,0.325495681932441,0.119054109401601,0.0624862017508732,0.141700949058223,0.211773638381302,0.356248903796046,0.133471709680651,0.0504777837351545,0.00977624913315064,0.0206863281253519
"60-64",0.467804785854679,0.451459690129191,0.291712014132962,0.258521068937428,0.182019951044158,0.257170631369942,0.312671943744686,0.243181547116172,0.112336922049131,0.058330209470424,0.0988403781041737,0.17459754993096,0.270356386250609,0.104496390428659,0.0219279664047719,0.00534577432041442
"65-69",0.302595866599647,0.439875257199688,0.390413311197516,0.193996027814488,0.148250583949904,0.168841313233833,0.272011133837912,0.333407042348783,0.245287738706181,0.0854760551618979,0.0775400806306432,0.10404818528776,0.128226821455807,0.255748650353844,0.0571361361242516,0.0127589822959848
"70-74",0.134482537191642,0.412827917181593,0.354488783475824,0.258946438224503,0.0558086226123335,0.131895781111871,0.117297157395884,0.25726190502605,0.248460585328204,0.195127641414157,0.10862509025376,0.0562601949023113,0.0923329967481582,0.0954392424825818,0.158064246313855,0.0680869175184859
"75+",0.431051334199169,0.573367722836606,0.920512902392345,0.744675413318914,0.18455768665062,0.166435218089465,0.212495710583182,0.510333271166679,0.529431215387059,0.524905480259695,0.492315576496672,0.222425284066036,0.0876106184276799,0.176477436514611,0.141772138338208,0.209202492020283
