"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0.00596383714937766,1.40644855567989e-71,7.213715421656e-59,5.32546043072154e-06,0.0183781368596086,0.0477651529998236,0.0104997587832017,0.0374299218246309,0.00859320779367843,0.00201127449940495,0.00169206057780825,1.85147520670831e-56,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0.00364209722328037,0.0445204957389304,0.0108941163360127,0.0133453585045973,0.00387163572326164,0.0318073117246419,0.00893819051353287,0.0287496982902617,0.0136498886319111,0.00470683847013224,1.11287154311991e-08,1.49245746292369e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0.0174724211328284,0.0194171548992305,0.376072497795143,0.345730068487032,0.199361897847616,0.186822199134332,0.171239623744783,0.174816342798158,0.112642728340496,0.0576046665370126,0.0262409241541016,0.0067916755160665,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0.0166812090421076,0.0291542361503935,0.233019090905137,0.5174583301877,0.497246089852446,0.417174025838829,0.453226167257473,0.313582800881708,0.205265019547965,0.136484754657585,0.0601976427835694,0.021458710230617,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0.0191815447159508,0.0375942952942406,0.20536304962405,0.493763250070899,0.83371017655913,0.599689219985481,0.577325772209295,0.488759509976086,0.28006722409247,0.200480994139001,0.0889165234386119,0.0286988545964878,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0.0306108987815133,0.0428183840493421,0.111559222979444,0.343916626521382,0.568557989989581,0.747928057914515,0.646767027265876,0.5311505897221,0.354422773406368,0.186171797899613,0.104277740579605,0.0270125040237286,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0.0207112474106433,0.0259639357374716,0.219408294935314,0.281306447121078,0.526569267585005,0.566802706010309,0.772292079348214,0.688508975050653,0.389412561795524,0.246916458766751,0.0943171918181467,0.0188766778066744,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0.0106956481308066,0.026886538271673,0.125573606629114,0.303421762225511,0.477244337271862,0.565839898042283,0.597090615219174,0.670352806279124,0.440222523377786,0.27553637018822,0.0917676163820291,0.0253647434748685,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0.00498097275272892,0.0293187661563436,0.128287661438726,0.169016475752101,0.293213962097902,0.377905811538204,0.409676649169903,0.388394763569044,0.309811584070284,0.173784854892949,0.084889944262242,0.01651201947376,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0.000596515145627749,0.0270892354629754,0.0819980427760965,0.120219406899418,0.252442607012265,0.295799294253911,0.303726510804594,0.376891225424298,0.297122180099894,0.196572726901258,0.0915484151441631,0.0168631453491348,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0.00671407854756098,0.0412736683072349,0.0544867132771775,0.0800976668172501,0.147723235602621,0.206463655636944,0.191955143681132,0.224876736873813,0.144984918385637,0.117055687694264,0.0703141684335599,0.0157298661866473,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0.000917625285638998,0.0159179193870856,0.00844071181744403,0.0363710480982431,0.0650003617912517,0.0719768024278261,0.0838759992393386,0.0831092078703857,0.0663261467092558,0.0441313043081727,0.0327016904589678,0.0061641207083539,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
