"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",8.9009506621436,4.13835676005375,1.83085969074603,1.02070887244931,1.31375360024851,1.63253093801487,1.53200000513443,1.13377478459301,0.579332824180998,0.345197154571406,0.312239413456436,0.252861467862549,0.129345205868551,0.0871904813251395,0.0366301790149718,0.0160968246743013
"5-9",4.15914958852239,23.7615392641541,4.10528094399795,1.11821744801557,0.631295325381277,1.24673653065921,1.38680569876208,1.1668064065524,0.853763871507061,0.385516968676673,0.243163021228909,0.218544137961116,0.136981956425405,0.080285818958462,0.0305363716902976,0.0166311300629039
"10-14",1.4136804469078,6.26152198435394,15.8165408151317,1.86227321760325,0.785843601453361,0.61996582574898,0.78362483572597,0.820778119550056,0.702553930582981,0.411227534256313,0.219337959810945,0.117898518660667,0.0667875297971157,0.0632067905091636,0.0321391347312151,0.0167242294081448
"15-19",0.715885704345311,1.62001986051493,5.25114904107362,12.645318479891,2.61460248731916,1.20762001761539,0.861018873383613,0.980268844997282,0.889669340401688,0.724039258126089,0.411430788054663,0.230725097454563,0.107864874658533,0.0349701832569028,0.0156897775812142,0.00918436261671985
"20-24",0.956170767237502,0.803373788179566,0.779294657988105,4.25132544944421,5.19772058299116,2.40805462846645,1.46935512409685,1.29858379814697,0.956754599159917,0.847794914845626,0.623028508292332,0.371825041404265,0.18874141580774,0.0188164104560051,0.0120907495920119,0.00766314366861837
"25-29",1.46902251207562,0.878132057940294,0.452978602044206,1.33227831163035,2.82351077819797,3.31137101014925,1.98925157504663,1.59230198833456,1.30474372606315,0.957679516940296,0.835786648704907,0.475674790638523,0.240713232967405,0.0169348293013222,0.00531589100165057,0.00634019435886215
"30-34",1.40804421993789,1.92884332578829,1.30579739406156,0.710617665030206,1.31788140069789,2.04614271333316,2.26663168892295,1.87164276595205,1.42861616257971,1.12336738074517,0.7674749597074,0.547400989756147,0.238379020294718,0.0204071621394944,0.00954570282065597,0.00491566856661651
"35-39",1.31840172643282,1.90895437911822,1.3968607954843,1.07534734650239,0.903966107408566,1.54476845973454,1.72175923215721,2.15763524553989,1.8643889549168,1.25004512578425,0.952012296999943,0.493483904860739,0.186148308523672,0.0362113279277685,0.0134096097624247,0.00410452168696924
"40-44",0.790755725770611,1.32224585539532,1.21650477774003,1.16518587491467,0.987884866142344,1.31691561258678,1.56259671554343,1.687101890909,1.91337290241551,1.51300978306429,1.14203974602634,0.47988570813791,0.239300605440645,0.0274148505862648,0.00694733612939027,0.0064177064927924
"45-49",0.514492731056879,1.00181158478837,1.01005298605999,1.44294577661689,0.82091371041045,1.02533548423122,1.24766524945558,1.40292944335155,1.38195920040025,1.3357453670288,0.969290767142902,0.568443005015331,0.195442201052576,0.0184391000851967,0.0109107185544482,0.0111939005745224
"50-54",0.582868190559831,0.913103292554611,1.11428415241633,1.14062306576723,0.801630683202205,1.18269556912305,1.22818363814908,1.22875636901043,1.60012438285028,1.60902210497978,1.28286660275229,0.819303328524141,0.250101071517627,0.0186633240171026,0.0104599178204426,0.0132549863079682
"55-59",0.988329973453691,1.28769317190715,1.05194127128952,1.02854167057183,0.708958390774368,1.03131638875278,1.21942080267421,1.06512363629548,1.22843997215081,1.0334902614104,1.07343197631666,0.814621300693348,0.358311642217858,0.037574854403182,0.0153871485374236,0.0221217168651261
"60-64",0.79356926480403,0.891680155481479,0.729596500513177,0.572431120361717,0.4801480289837,0.651785453003668,0.705559944971326,0.827514028345711,0.77017955540447,0.757953747264663,0.65255801214778,0.664475834816767,0.227500163150913,0.0785125343347626,0.0238548496893757,0.00578937531526941
"65-69",0.503633781229383,0.870142179440923,0.781215930653747,0.308539668265078,0.191007181825816,0.137048128467353,0.222796266454237,0.266057406175278,0.159589697122892,0.0896315002120249,0.0990719871924582,0.0975699676376418,0.0922166722826454,0.0523788599006476,0.0600333195929331,0.0105518701577826
"70-74",0.226560301296435,0.745578277551064,0.572912751259821,0.406165987550153,0.0673353721340696,0.101656352362128,0.0952304891823893,0.16887678458739,0.0686175012722494,0.13293202025014,0.108095426434064,0.0984403351295016,0.0932946204959546,0.0813685289093537,0.0273859755912243,0.0530395847474539
"75+",0.381760857293893,0.551360982695344,0.80063322796433,0.599901797683394,0.0998880593056681,0.106914498233372,0.0847138613545567,0.158433248782207,0.152222642440439,0.146957989529958,0.157030012579174,0.134939342155492,0.0437977061464454,0.0683107540557229,0.0400363069255814,0.0227449268761829
