"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.1913073221244,0.530324679506905,0.263969021442948,0.209180371423779,0.332894598088449,0.528486499858394,0.585504869252284,0.492692338554441,0.322351728904949,0.219010545538532,0.262208909285955,0.190794795828523,0.10431964053258,0.0739850362170414,0.0523268612493774,0.025912314151736
"5-9",0.577442487829031,2.23666344793937,0.797316667326123,0.237260173008824,0.189162256597415,0.390247121067109,0.456753188858787,0.497545733422869,0.406666052539897,0.187416732409817,0.148656320741591,0.134251039705158,0.102695498723416,0.0631630809452137,0.0337768769835107,0.0262522548432853
"10-14",0.180965128509679,0.989370137328847,3.40403668142743,0.570781788076496,0.355398796584275,0.312439927381633,0.345756816239027,0.405428416253229,0.452365317998843,0.275656313825783,0.179385137741042,0.0972198616448591,0.0561936736948095,0.0479089912061378,0.0383531640535316,0.0347385572944921
"15-19",0.10599545179875,0.343124732795662,1.5529618598692,4.99616664893367,1.1386419836042,0.553620497630693,0.336119047582497,0.394636838652855,0.390498881299766,0.333126736416599,0.148974202491182,0.0644759313100555,0.0389231491894807,0.0292075480933023,0.0196414991132627,0.0137265558217957
"20-24",0.141656618543338,0.185543381083346,0.269071641149021,1.85878673629725,2.82977098907577,1.1628091630778,0.660576171161562,0.430278804889254,0.323320712477515,0.361680141505342,0.217578782667575,0.125587445086587,0.0416141975390552,0.0263580168795912,0.032549456139921,0.0269918166515959
"25-29",0.254538131786149,0.136072010886449,0.119156100658448,0.49971185880409,1.31422090150355,1.74337598586049,0.950332209588276,0.6240288237689,0.403159218969344,0.350129785803333,0.293175666646348,0.13700733561123,0.0444558015657458,0.0273122625156987,0.0192994744781459,0.0102408097784099
"30-34",0.246493976976063,0.180166816697854,0.266197990381401,0.22763424820833,0.567378497403293,0.867126875835831,1.04257344883789,0.729942311164258,0.443833608199636,0.325276447932963,0.326822243811337,0.205581833200792,0.0774962899340168,0.0466294943889568,0.0265072794607607,0.0259296956013295
"35-39",0.219355011578468,0.265893200676015,0.19481234582868,0.154689054120265,0.346896898980726,0.632926970494206,0.759365444842234,0.907230539533751,0.611218972911653,0.376293738614507,0.254099576120643,0.175522008289231,0.124139275943742,0.0716681869369154,0.0476667616818491,0.0198581616770684
"40-44",0.145079936132545,0.193606507929453,0.295037921389946,0.203248032324818,0.343458776221706,0.428713284268016,0.567271753293359,0.601097990850402,0.629955175840944,0.367988554467403,0.250122564792971,0.102544285755953,0.0799947010394324,0.0468935805887239,0.0402800647408785,0.0179044980331177
"45-49",0.0420450134223181,0.071078093677137,0.0900608877188145,0.184206683079188,0.238373788209119,0.307601723116968,0.361637422919055,0.396149710776691,0.367235668023104,0.361054321869344,0.278313582975774,0.111057382870664,0.0650463663382817,0.0355679249677432,0.0357914620512293,0.029096185544209
"50-54",0.0662448566430604,0.127864827986377,0.141187469537101,0.225086290084469,0.386989266030453,0.510668721586684,0.358773069746502,0.341270080607591,0.373133649645414,0.399827819923803,0.31113017610914,0.214860889095516,0.10753007273422,0.0490547316929497,0.0365048015720363,0.0259096619873428
"55-59",0.0786009686283402,0.071930041517285,0.0752668459567981,0.0958000658334505,0.225857678710801,0.395763275475459,0.393169957648871,0.319901454160405,0.302102343217878,0.204233635226961,0.296895214138535,0.241611427211815,0.128827099570908,0.0600537497070315,0.0375799415161535,0.0214832831326109
"60-64",0.043505842132492,0.0489287275202306,0.0409583818656311,0.0697874989535397,0.138472892749418,0.221523029867286,0.219176204602391,0.257606664083812,0.214643697522999,0.166730881145797,0.149466832900239,0.161461112235998,0.115641254106203,0.0704184278807467,0.0557635489180074,0.0246362476144515
"65-69",0.0345375658182385,0.0469628046667113,0.0290263021842418,0.0327708856773964,0.0900613355338057,0.146228466750697,0.177456536592864,0.155955065267254,0.143436755333979,0.10940344446288,0.119770827997305,0.113051699923972,0.0882895604163343,0.0642352141947042,0.0384264431789831,0.0241390360517152
"70-74",0.0146101249984777,0.031857630734039,0.0446405299837307,0.0893457194763753,0.0779951767541997,0.118233391861036,0.116742210215053,0.159344514633904,0.180273464927869,0.13034048241324,0.10559178266028,0.0919209202776065,0.124575573030725,0.0937554512026064,0.0975717483740357,0.0374496758503851
"75+",0.0237324255268541,0.0248344669993969,0.0356750032804579,0.0211371276651993,0.0435503941858878,0.0604536153951505,0.110039233016138,0.0866133396534535,0.0798348880478684,0.0949752275070046,0.0686144891057509,0.0577182430840273,0.0449822160988169,0.0500807086121997,0.0492495636645006,0.0351777292710356
