"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.102523390238933,0.0241103342114292,0.0285798050909433,0.00820448396309262,0.0669955693913588,0.0190376058380931,0.0664027314596044,0.0385795247276438,0.0155594447860066,3.95469244020257e-08,5.27848878643557e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.0429731131572332,0.799891442901761,0.71156474789206,0.406019783950579,0.378177643837546,0.350521969222189,0.388045755815638,0.305970235361299,0.18300827301568,0.089617960621741,0.0230851565626528,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0624353693058561,0.479588516554411,1.03055328181372,0.979928094394544,0.817151209940401,0.897725889486768,0.673551702235701,0.539521505287586,0.41958020914667,0.198935922481504,0.0705792935126894,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0796670489922848,0.418241709875386,0.973064425438946,1.62579468483727,1.16235603289449,1.13155972995591,1.03882331517915,0.728423363016835,0.609862350570035,0.290766229513741,0.0934041171453929,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0901881317301375,0.225825433434588,0.67365624433469,1.10201549017465,1.44090415285249,1.25998897382436,1.12208684505256,0.916232166712963,0.562904660336037,0.338934235562647,0.0873833390684948,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.05530103367423,0.449121680616587,0.557196602279738,1.03207687394832,1.10420774374637,1.52140227192717,1.4708284269639,1.01797585748009,0.754943755772867,0.309997573343073,0.0617494310840187,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0620994197124154,0.278739986862393,0.651726573867304,1.01434864074458,1.19537004812764,1.27553580586675,1.55290815363989,1.24792851819759,0.913552309460787,0.327074595637483,0.0899762318625101,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0828654426724282,0.348466399408457,0.444245315723989,0.76261655053333,0.976939086592137,1.07094885769834,1.10100886719163,1.07470734030381,0.705085079848441,0.370244590984407,0.0716758135644736,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0895491668464792,0.260505287179768,0.369577422891629,0.7679293608739,0.894371774555351,0.928639726731268,1.24959855269442,1.2054929424634,0.932802921937368,0.467003720752802,0.0856146446982423,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.146669815616324,0.186082932758256,0.264699787235771,0.483070261484063,0.671069404705377,0.630909673886442,0.801496984242065,0.632346767018365,0.59712056841636,0.385580649245783,0.0858494225600382,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.05629812646286,0.0286902920118867,0.119627081567438,0.21155204598256,0.232839329744915,0.274375358189429,0.294812891155965,0.287910302766861,0.224055824710547,0.178477121758521,0.0334829296099392,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
