"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.135285039543162,0.0254143028245604,0.0300060374376378,0.00885556556746494,0.0736306169106545,0.0212909103638639,0.074070607268189,0.0447631367275281,0.0184721506744961,5.70819020208119e-08,1.28193610019824e-16,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.0452972448044421,0.673525707525486,0.596776845404927,0.350074425113927,0.3320139751535,0.313144868749257,0.34577298145961,0.28359004079106,0.173557044268072,0.103330596109203,0.0447855337783859,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0655511128526882,0.402222458110286,0.860879576957347,0.841553657245269,0.714557784700731,0.798818696247603,0.597796639227965,0.498075258453593,0.396333636284719,0.228465961219942,0.136381873296183,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0859891711765487,0.360612295092284,0.835659198514322,1.43538680784385,1.04493613860124,1.03513645267506,0.947850552926249,0.691330509973893,0.592234098114817,0.343295337816929,0.185550023150276,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0991201035775645,0.198259207193082,0.589078627977212,0.990691129390281,1.31896415331405,1.17363806892586,1.0424901843642,0.885430985535801,0.556600706892853,0.407461616425966,0.176754692796933,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0618465032315735,0.40123062768707,0.495807315572863,0.944130800968375,1.02853300384843,1.44205242116777,1.39051943309311,1.00105099956896,0.759614158114685,0.379226871344554,0.127099786766867,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.069270369275381,0.248374720931655,0.578426205828362,0.925519196518935,1.11057495001436,1.2058900230294,1.46432972409893,1.22401430934199,0.916832359720953,0.399085254977014,0.18472161746052,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0961473000644605,0.322977822682219,0.410118221938308,0.723782508308363,0.944097107344531,1.05314327113807,1.07991009781668,1.09645466126374,0.736040507126247,0.469906301626814,0.153061593419288,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.106312643253918,0.247051824019192,0.349101222389095,0.745732134518467,0.884355730232092,0.934384686036206,1.25408515517511,1.25841783079369,0.996345163599613,0.60646063376183,0.187068810948816,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.211702734688331,0.214555879583301,0.303991810886529,0.57034054086273,0.806749497941241,0.771805724634438,0.977959256346767,0.802560625788553,0.775433047450376,0.608779276938788,0.228062069515953,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.136725876678429,0.055659576686122,0.231157959638535,0.420254355259847,0.470975870673091,0.564750944385377,0.605252220228095,0.614823990294655,0.489564102759383,0.474130873985007,0.14966153141021,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
