iso3c,countryname,year,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,total
AFG,Afghanistan,2020,2907406,2774630,2651664,2377941,2017279,1610796,1299121,1068167,868020,677226,529188,411379,305081,215637,140254,76897,33115,10185,2053,215,11,19976265
ALB,Albania,2020,86564,87732,86957,106218,117374,129317,122633,90658,75896,80264,88504,98654,91164,69837,52442,41429,25727,10503,2584,242,15,1464714
DZA,Algeria,2020,2574062,2366637,1949293,1484482,1531025,1812011,1877520,1782775,1511220,1214095,1026740,867903,703307,583040,359717,241813,157783,80994,24471,4409,511,22153808
AGO,Angola,2020,2923514,2568244,2166595,1751828,1424241,1192393,999332,808851,645763,520750,376364,332588,229285,145237,95124,49865,22040,7226,1458,161,11,16260870
ATG,Antigua and Barbuda,2020,3730,3668,3445,3563,3827,3643,3375,3306,3209,3170,3159,2786,2167,1578,1163,741,418,217,81,20,3,47269
ARG,Argentina,2020,1903426,1889129,1831221,1799760,1762738,1775210,1658744,1550297,1518156,1278269,1103469,1003393,877065,745751,578876,385738,228228,113405,38290,7286,695,22049146
ARM,Armenia,2020,107883,113643,105888,91231,92927,111248,126226,108316,86905,73107,70401,85257,84196,54592,33796,15945,21033,7813,2977,323,40,1393747
ABW,Aruba,2020,3107,2890,3447,3651,3806,3802,2742,2695,3028,3477,3739,4166,3510,2685,1896,1107,600,235,53,6,0,50642
AUS,Australia,2020,857499,841026,825846,777475,811222,909705,939585,921591,810368,831536,768934,767400,693712,601807,527592,365811,241273,136756,56263,12306,918,12698625
AUT,Austria,2020,230364,219996,218795,233504,263261,312066,315827,314619,284438,305305,357250,346838,284670,213955,187337,168533,107116,52214,19835,3562,206,4439691
AZE,Azerbaijan,2020,435899,460346,374228,341404,377968,450732,465572,412182,327657,296105,297201,307868,230664,138744,64620,36504,32143,12081,2490,242,14,5064664
BHS,Bahamas,2020,13896,13649,15659,16178,16718,16567,13846,13070,13237,13764,12140,11138,7956,5358,3543,2362,1297,518,163,30,4,191093
BHR,Bahrain,2020,54608,58503,46133,48537,52816,146431,220224,160056,101279,73440,51983,34121,27656,12509,6141,3415,1789,569,237,25,2,1100474
BGD,Bangladesh,2020,7320193,7476957,7707436,7975294,7742470,7257687,6778960,6271177,5553520,4718381,4264730,3479495,2371855,1489609,1206898,855121,487662,217066,68178,14498,1921,83259108
BRB,Barbados,2020,7686,7875,8923,9747,9539,9407,9015,9274,9220,9748,9394,9453,8540,6940,5482,3576,2601,1518,769,284,93,139084
BLR,Belarus,2020,277400,306942,248915,227984,218608,333729,416816,360742,320970,301557,275420,343489,284767,225597,99113,74958,53989,20708,7044,594,25,4399367
BEL,Belgium,2020,326341,345558,345591,329234,337762,372158,375267,378626,381481,392495,405226,406323,365223,306534,260160,171437,132264,78407,28401,5548,299,5744335
BLZ,Belize,2020,19985,19578,19350,20047,19610,18097,15648,13243,11077,10098,8582,7176,5180,3732,2592,1681,1127,598,305,47,8,197761
BEN,Benin,2020,968520,856395,754306,653817,563264,474966,391841,322734,265072,216367,176046,137284,102815,74216,46464,30329,13828,4742,1086,144,12,6054248
BTN,Bhutan,2020,32463,31475,33626,35600,39586,43615,41173,34365,27926,21405,17901,13539,11167,8485,7152,5278,3120,1508,546,136,21,410087
BOL,Bolivia,2020,605964,602325,592770,579611,541104,492994,438428,385058,333313,283210,237469,198046,163721,134236,107091,76945,47160,24975,10304,2824,471,5858019
BIH,Bosnia and Herzegovina,2020,68686,83189,92909,84143,111549,95996,110800,123104,111798,115076,114211,128681,115499,103799,62167,39360,31797,9576,3771,469,29,1606609
BWA,Botswana,2020,137546,135080,124635,114070,102793,98690,89772,83269,69073,52240,37552,28245,23651,18567,12478,7449,2863,933,178,15,0,1139099
