country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7383906953877756,0.3334775734894735,0.7340284889494182,1.0,1.0,1.0,0.9891470402441388,0.5671033703942922,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7403926944182897,0.5658441609622769,0.6572677449653823,1.0,1.0,1.0,1.0,0.46221577870742436,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.740927552211372,0.37912884753377074,1.0,1.0,1.0,1.0,1.0,0.40368781864704995,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7411159289153727,0.6202602999103269,0.620465508737752,1.0,1.0,1.0,1.0,0.4523178398645464,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7421082484393017,0.2814345213026723,0.7769056019817023,1.0,1.0,1.0,1.0,0.5915402779612082,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7421248106609564,0.4887242567494321,0.956640696625071,1.0,1.0,1.0,1.0,0.36569115234202715,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7434962974287184,0.32981081302943926,1.0,1.0,1.0,1.0,1.0,0.4314324730505238,0.025335272479512394
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7439780643719217,0.4292609440789275,1.0,0.964595932622801,1.0,1.0,1.0,0.41807985771905926,0.005743136162180184
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7442518310771857,0.24534921210740304,1.0,1.0,1.0,1.0,1.0,0.5121632736487864,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7456459111608683,0.5098607709487698,1.0,1.0,1.0,1.0,0.9995178527762455,0.3551831542245816,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7457489487184716,0.7079725510910405,0.581457554045193,1.0,1.0,1.0,1.0,0.4504432253249133,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7458481046270791,0.781623235820662,0.689666056874197,1.0,1.0,1.0,1.0,0.34749784939379624,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7461195188945584,0.29656832767390934,1.0,0.9468322127364635,1.0,0.9925336796162296,1.0,0.5450963834310163,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7467457935451147,0.13766716192451156,1.0,1.0,1.0,1.0,1.0,0.598177879705849,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7467924745705717,0.35972296811126714,0.8708739055400603,1.0,1.0,1.0,1.0,0.5259335632730067,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7475003659890254,0.19028388050514045,1.0,1.0,0.9996099603005897,1.0,0.9898372628189339,0.5823730165003856,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7479952616847643,0.6110778410652155,0.8267563504996202,1.0,1.0,1.0,1.0,0.39860796062704623,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7496605965750103,0.5064125689239215,1.0,1.0,1.0,1.0,1.0,0.3855068405083786,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7502001100619599,0.10721413284167514,0.9715800359973586,1.0,1.0,1.0,1.0,0.6571266718113418,0.0
"China, Hong Kong SAR",2.7525092030000033,0.9095644704786432,0.7515627902970005,0.46371688276824385,1.0,1.0,1.0,1.0,1.0,0.4261396527850868,0.0
