country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
North Macedonia,3.498699999999999,1.0584769558941631,Inf,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
