country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
Vietnam,2.789999999999998,0.9165386584741423,0.7259318039229918,0.22495159085815053,0.5946178664610344,1.0,1.0,1.0,1.0,0.38400926231958216,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7263510694873656,0.16562700332050648,0.6599298637922433,1.0,1.0,1.0,1.0,0.3936637601056878,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7265818741038113,0.3820157378053442,0.4797894681988911,1.0,1.0,1.0,1.0,0.27419994165792294,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7295104577507164,0.2922902085793867,0.5918142212672826,1.0,1.0,1.0,1.0,0.2946907800536458,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.730455208467804,0.1679789182030168,0.5177326063767799,1.0,1.0,1.0,1.0,0.7064693321012095,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7313196742535808,0.33002062966894113,0.7209347550448291,1.0,1.0,1.0,1.0,0.0,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7319638152119218,0.25665322547013075,0.4196382814400375,1.0,1.0,1.0,1.0,0.7212163771629484,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7327659168765654,0.146559898739404,0.40016206100018104,1.0,1.0,1.0,1.0,1.0,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7333087975496086,0.406927922143722,0.40011010755733567,0.9890893973000013,1.0,1.0,1.0,0.48129795433241007,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7333491493462353,0.1002802084099026,0.7376637139605886,1.0,1.0,1.0,1.0,0.48021957763969764,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7339065786230374,0.15545504902209017,0.7602168860205035,1.0,1.0,1.0,1.0,0.2930945680864646,0.057596216459315175
Vietnam,2.789999999999998,0.9165386584741423,0.7343204735331815,0.2566940345943455,0.6383366136174466,1.0,1.0,0.9683108485332961,1.0,0.40590806291778425,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7346244387093175,0.5052264951202599,0.5005528638059884,1.0,1.0,1.0,1.0,0.08263014635349884,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7374645647092029,0.2184344155752706,0.42474645688595936,1.0,1.0,0.9778181020307082,1.0,0.906246124842462,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7381192285724533,0.05295322692387141,0.5450238269503398,1.0,1.0,1.0,1.0,1.0,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7382925924083656,0.27057036930977096,0.314549930825081,1.0,1.0,1.0,0.9804407003748065,1.0,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7396935737670626,0.40995796873158175,0.3065083066974658,1.0,1.0,1.0,1.0,0.7100385384901023,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7405293211935766,0.1794248994537597,0.6725639575712319,1.0,1.0,1.0,1.0,0.5291329169942132,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.7413180001699786,0.28639218495701185,0.30221719527212787,1.0,1.0,1.0,1.0,1.0,0.0
Vietnam,2.789999999999998,0.9165386584741423,0.743599363052204,0.4737986611031512,0.5285663261608156,0.9691719657575146,1.0,1.0,1.0,0.1911719014418382,0.14134718173052196
